,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
11242,28753,,Depuy Canal House,,,,35.5x21.5cm,,,1987-0013_wotm,,,1987-10-11,Depuy Canal House,,Dollars,$,complete,4,38
8669,26049,,BOARD OF TRADE OF JERSEY CITY,FOURTH ANNUAL DINNER,GOVT;,HOTEL WASHINGTON,FOLDER; 4.5 X 6;,SOC;,,1892-023,,,1892-01-28,Board Of Trade Of Jersey City,,,,complete,4,24
6281,23066,,S.M.S.VINETA,BANQUET IN HONOR OF VISITORS OF S.M.S VINETA IN NEW ORLEANS,GOVT(?);,"ST. CHARLES HOTEL, NEW ORLEANS LA",BOOKLET; ILLUS; 5 X 7;,COMPLIMENTARY/TESTIMONIAL,WINES WITH EACH COURSE; MENU IN ENGLISH BUT TOASTS AND EVENT IN GERMAN; SEAL ON BACK COVER IN EENGLISH; PHOTO OF SHIP ON FRONT COVER;,1901-191,,,1901-01-26,S.M.S.Vineta,,,,complete,8,31
7429,24487,,(CLUB),LUNCH OR DINNER,COMMERCIAL,"SAVARIN'S CAFE,NY",BROADSHEET; ILLUS; 6.5 X 10.5;,,PRICES LISTED FOR EACH ITEM; COMPLETE WINE LIST ON BACK;,1896-190,,,1896-10-24,Savarin's Cafe,,Dollars,$,complete,2,372
17053,34876,Maplewood Hotel,Maplewood Hotel,,,,,,War Veterans and Sons' Association,1912-0598_wotm,,,1912-09-22,Maplewood Hotel,,,,complete,1,42
14206,31801,,National Republican Club House [?],,,,21x15.5cm folded; 21x31cm open,,The National Repulican Club,1925-0020_wotm,,,1925-08-06,National Republican Club House [?],,,,complete,4,19
10288,27772,,Hotel Regency,,,,23x15cm folded; 23x30.5cm open,,,1969-0023_wotm,,,1969-04-07,Confrerie De La Chaine Des Rotisseurs,,,,complete,5,23
1741,15255,,,,,,,,,,,,1900-10-17,Provident Building,,,,complete,2,32
5859,22539,,RED STAR LINE,LUNCH,COMMERCIAL,SS WESTERNLAND,CARD;ILL;5X8;,DAILY;,"RED STAR LINE DONE WITH COOKING UTENSILS;ANGEL WITH APRON AND CAP STIRRING POT;GARLAND OF UTENSILS,FOOD,ETC;",1900-843,,,1900-02-09,Red Star Line,,,,complete,2,21
17031,34853,H?tel de l'Ath?n?e,H?tel de l'Ath?n?e,,,,,,New York Press Club Dinner to Governor Woodrow Wilson,1912-0574_wotm,,,1912-10-09,H?tel de l'Ath?n?e,,,,complete,1,10
6307,23095,,HAMBURG-AMERIKA LINIE,LUNCHEON,COMMERCIAL,ENROUTE  ABOARD SCHNELLDAMPFER (EXPRESS-STEAMER) FURST BISMARCK,CARD; ILLUS; 5 X 8;,,"ENGLISH AND GERMAN; FEMALE FIGURE, FOOD, AND SHIP;",1899-838,,,1899-12-16,Hamburg Amerika Linie,,,,complete,2,26
4389,20745,,ORIENTAL HOTEL,DINNER,COMMERCIAL,"MANHATTAN BEACH, NY",CARD; ILLUS; COL; 5X9;,,TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-4190,,,1900-08-29,Oriental Hotel,,,,complete,2,49
2361,16311,,,,,,,,,,,,1901-01-01,Holland House,,Cents,c,complete,8,9
7303,24329,,ROYAL PALM HOTEL,LUNCHEON,COMMERCIAL,"MIAMI BISCAYNE BAY,FLA.",BROADSHEET; HOTEL EMBLEM; 4 X 7.5;,,LIST OF ALL LOCAL FISH ON BACK;,1901-737,,,1901-03-23,Hotel Royal Palm,,,,complete,2,36
10904,28411,,The Cliff Dwellers,,,,18x17.5cm folded; 35.5x17.5cm open,,,1958-0059_wotm,,,1958-09-30,The Cliff Dwellers,,Dollars,$,complete,3,31
15126,32738,Louis Sherry,Louis Sherry,,,,26.5x15.5cm folded; 26.5x31cm open,,,1917-0475_wotm,,,1917-11-15,Louis Sherry,,Dollars,$,complete,5,482
1803,15373,,,,,,,,,,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,28
8596,25952,,KING VICTOR EMMANUEL III,BALL,GOVT;,"PALAZZO DEL QUIRINALE, ROME, ITALY",CARD; ILLUS; COL; 5X7.5;,[COMPL?];,"WINES LISTED; MENU IN FRENCH; BEIGE CARD BEAUTIFULLY ILLUSTRATED; SPON, EVNT AND PL NOTED BY FEB;",1907-203,,,1907-02-11,King Victor Emmanuel Iii,,,,complete,2,12
13119,30667,,"S.S. ""De Grasse""""""",,,,27x21cm folded; 27x42cm open,,French line,1937-0140_wotm,,,1937-06-16,"S.S. ""De Grasse""""""",,,,complete,2,110
10193,27676,,INTERNATIONAL GOURMET CLUB,DINNER,RESTAURANT,HARBIN INN [UNKNOWN],FOLDER; ILLUS; 6 X 9,,UNPRICED MENU; PRINTED IN BLACK INK; PREPARED BY CHEF WANG CHING-SAN; IN ENGLISH AND CHINESE; ILLUSTRATION OF CLUB LOGO OF TWO HANDS WITH EATING UTENSILS ABOVE A LAURAL WREATH,1968-0006,,,1968-09-23,Mittersill,,Dollars,$,complete,7,82
2442,16558,,TOYO KISEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,DAILY MENU;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4392,,,1900-09-17,Toyo Kisen Kaisha,,,,complete,2,35
1349,14339,,UNITED STATES WEATHER BUREAU OFFICIALS,CONVENTION BANQUET,PROF;,"PFISTER HOTEL, MILWAUKEE, WI",FOLDER; ILLUS; COL; 5.25X7;,ANNIVERSARY;,LISTS WINES SERVED WITH INDIVIDUAL COURSES; MUSICAL PROGRAM; TOASTS; SILK CORD ATTACHMENT; SKETCHES RELATED TO WEATHER THEME ON COVER;,1901-2230,,,1901-08-29,United States Weather Bureau Officials,,,,complete,8,23
6998,23948,,PUTNAM HOUSE,DAILY MENU,COMMERCIAL,"[NEW YORK, NY]",FOLDER; 6.75X10.0;,,PRICED DAILY BILL OF FARE;,1900-597,,,1900-01-29,Putnam House,,Dollars,$,complete,4,256
15776,33407,Denver & Rio Grande Railroad,Denver & Rio Grande Railroad,,,,,,,1915-0146,,,1915-01-01,Denver & Rio Grande Railroad,,Dollars,$,complete,4,84
6002,22722,,FLAT IRON RESTAURANT AND CAFE,LUNCH READY,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 6.6X12;,,A LA CARTE LUNCH MENU; DECORATIVE SKETCHES ON MENU; LIMITED WINE LIST ON BACK OF MENU;,1907-141,,,1907-01-28,Flat Iron Restaurant And Cafe,,Dollars,$,complete,2,121
12692,30236,,Waldorf Astoria,,,,25.5x20.5 folded; 25.5x21cm open,,Saint Andrew's Society,1939-0188_wotm,,,1939-11-28,Waldorf Astoria,,,,complete,5,17
8540,25888,,CHICAGO BEACH HOTEL,DINNER,COMMERCIAL,"(CHICAGO, ILL)",CARD;ILLUS;4.5X7;,,,1896-133,,,1896-06-24,Chicago Beach Hotel,,,,complete,2,34
12320,29854,,Miller Brothers,,,,33x21.5cm folded; 33x43cm open,,,1947-0006_wotm,,,1947-02-03,Miller Brothers,,Dollars,$,complete,4,275
13514,31101,,The Commodore Hotel,,,,19.5x14cm,,lobby café,1933-0203_wotm,,,1933-05-19,The Commodore Hotel,,Dollars,$,complete,1,25
8906,26340,,Air France/Concorde,,AIRLINE,Concorde,Booklet; 8.25 x 11.5 inches,,"Dieter Zander Collection, cover is an antique print from the Bernard Gerard Collection. ",Zander 4,,,1986-03-22,Air France/Concorde,,,,complete,7,54
12367,29909,,Pomeroy's,,,,33x25cm folded; 33x51cm open,,,1948-0067_wotm,,,1948-12-15,Pomeroy's,,Dollars,$,complete,6,370
13077,30625,,El Barrio Latino,,,,20x13cm folded; 20x26cm open,,Big Game Celebration,1937-0180_wotm,,,1937-03-20,El Barrio Latino,,Dollars,$,complete,2,47
2010,15622,,,,,,,,,,,,1900-10-08,Delmonicos,,,,complete,2,20
6818,23728,,NEW YORK CITY,LAUNCHING OF FERRYBOAT RICHMOND,GOVT(?);,[NEW YORK CIY],FOLDER; ILLUS; COL; 4.25 X 6.5;,OTHER (COMMEMOATION);,CHAMPAGNE; ILLUSTRATION OF FERRYBOAT;,1905-408,,,1905-05-20,New York City,,,,complete,4,13
9936,27419,,(AMERICAN LINE),DINNER,AA,ABOARD U.S.M.S. ST. LOUIS,CARD; COL; 3.75 X 6,,PRICED WINE LIST; BLUE STOCK,1910-706,,,1910-03-09,Usms St Louis,,Dollars,$,complete,2,91
8163,25425,,COMPAGNIE GENERAL TRANSATLANTIQUE,DINNER,COMMERCIAL,ABOARD PAQUEBOT LA TOURAINE,CARD; ILLUS; COL; 6 X 8;,,MENU IN FRENCH AND ENGLISH; PHOTOS OF STEAMER AND CATHEDRAL; PALE BLUE BORDER;,1907-306,,,1907-03-16,Compagnie General Transatlantique,,,,complete,2,33
14838,32445,Herald Square Hotel,Herald Square Hotel,,,,32.5x14.5cm,,,1918-0051_wotm,,,1918-01-09,Herald Square Hotel,,Dollars,$,complete,1,119
3056,18119,,,,,,,,,,,,1901-05-22,Geyer's Dairy Restaurant,,Dollars,$,complete,8,213
11741,29261,,Frontera Grill,,,,28x21.5cm,,,1989-0014_wotm,,,1989-04-18,Frontera Grill,,Dollars,$,complete,1,18
3176,19097,,,,,,,,,,,,1901-10-16,Norddeutscher Lloyd Bremen,,,,complete,2,88
4451,20807,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER KRONPRINZ WILHELM,CARD; ILLUS; COL; 5.5 X 8.25;,,MENU IN GERMAN AND ENGLISH; ILLUSTRAION OF MEN AND WOMEN ON DECK; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-2514,,,1901-10-15,Norddeutscher Lloyd Bremen,,,,complete,2,68
11961,29483,,"Paquebot \Liberté\""""",,,,34x24cm folded; 34x48cm open,,English is secondary language. ,1955-0030_wotm,,,1955-05-29,"Paquebot \Liberté\""""",,,,complete,3,142
4827,21212,,IDAN-HA HOTEL,COMPLIMENTARY BANQUET TO BOISE COUNCIL NO. 313,COMMERCIAL,"SODA SPRINGS, ID",BOOKLET; ILLUS; COL; 6.25X8.75;,COMPLIMENTARY/TESTIMONIAL,"INCLUDES WINES SERVED WITH INDIVIDUAL COURSES, EACH WINE FOLLOWED BY LITERARY QUOTATION; MUSICAL PROGRAM; TOASTS; BOISE SEAL ON COVER, MYTHICAL FIGURE IN BACKGROUND; BOISE COUNCIL SEAL ON BACK COVER; CORD ATTACHMENT;",1906-373,,,1906-04-14,Idan Ha Hotel,,,,complete,8,28
579,13203,,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,BREAKFAST,COMMERCIAL,ON BOARD SS NORTH WEST,FOLDER; ILLUS; 7.0X11.0;,,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3885,,,1900-01-01,Northern Steamship Company/Great Northern Ry Line.,,Dollars,$,complete,4,156
7348,24384,,(FIVE O'CLOCK CLUB PHILADELPHIA),?,,UNION LEAGUE,CARD; 5.25X7.5,,"HANDWRITTEN STATEMENT ON BOTTOM OF CARD READS""FIVE O'CLOCK CLUB PHILADELPHIA"",SAME STATEMENT IN SAME HANDWRITING ON BACK OF CARD, ELABORATE MONOGRAM OF A FIVE,A 'C ATTACHED BY ANOTHER SYMBOL ON LEFT UPPER SIDE OF CARD, EACH ITEM OF MENU HAS A QUOTAION FRO",1889-020,,,1889-02-09,Five O'clock Club Philadelphia,,,,complete,2,26
15802,33434,S.S. Frederik VIII,S.S. Frederik VIII,,,,,,,1915-0173,,,1915-01-01,S.S. Frederik VIII,,,,complete,4,68
1689,15048,,,,,,,,,,,,1900-05-08,Pacific Mail Steamship Company,,,,complete,4,21
15590,33209,Louis Sherry,Louis Sherry,,,,26.5x15cm folded; 26.5x30cm open,,,1917-0959_wotm,,,1917-12-17,Louis Sherry,,Dollars,$,complete,3,180
14,12477,,OCCIDENTAL & ORIENTAL,BREAKFAST,COMMERCIAL,"S.S. ""DORIC""",BROADSIDE; ILLUS; 5.5X8.5;,,HANDWRITTEN; STEAMSHIP COMPANY FLAG AT TOP OF MENU;,1900-2851,,,1900-04-18,Occidental & Oriental,,,,complete,2,24
9022,26462,,Mikasakaikan,,RESTAURANT,Mikasakaikan,Booklet 8 x 11.75 inches,,Dieter Zander Collection.,Zander 130,,,1969-12-29,Mikasakaikan,,Yen,¥,complete,15,144
7700,24845,,NEW YORK BRANCH LEAGUE,BANQUET TENDERED TO NATIONAL LEAGUE OF COMMISSION MERCHANTS OF THE U.S.,COMMERCIAL,"METROPOLITAN HOTEL, NEW YORK, NY",BOOKLET; ILLUS; COL; 5.5X7;,COMPLIMENTARY/TESTIMONIAL,"INCLUDES WINES SERVED WITH EACH COURSE; FLORAL MOTIF & GOLD SEAL ON COVER; SILK RIBBON ATTACHMENT; INCLUDES NAMES OF LEAGUE OFFICERS, ARRANGEMENT COMMITTEE & MEMBERSHIP",1895-006,,,1895-01-10,New York Branch League,,,,complete,8,30
5927,22623,,NEW YORK & CHICAGO LIMITED,DINNER,COM.,PULLMAN DINING CAR,FOLDER;ILLUS;4.5 X 7.5;,"""CONTINTENTAL DINNER""EN ROUTE;",INCLUDES WINE LIST & PRICES,1888-066,,,1888-09-15,New York & Chicago Limited,,Dollars,$,complete,4,90
16615,34279,Hotel Deming,Hotel Deming,,,,18.5x15.5cm folded; 18.5x31cm open,,,1914-0981_wotm,,,1914-10-20,Hotel Deming,,,,complete,2,20
6843,23755,,CINCINNATI LODGE OF ELKS NO. 5,DINNER TENDERED TO JUDGE HENRY A. MELVIN,SOC;,"ST. NICHOLAS HOTEL, [CINCINNATI, OH?]",FOLDER; ILLUS; 5.5X8;,COMPLIMENTARY/TESTIMONIAL,WINES LISTED WITH COURSE; PHOTO OF MR. MELVIN ON COVER;,1905-934,,,1905-12-02,Cincinnati Lodge Of Elks No. 5,,,,complete,4,20
1201,14125,,HOTEL JEFFERSON,CHRISTMAS DINNER,COMMERCIAL,"SAN FRANCISCO, CA",FOLDER; COL; 4.75X6;,RELIGIOUS HOLIDAY,,1906-1012,,,1906-12-25,Hotel Jefferson,,,,complete,8,48
7607,24720,,WASHINGTON HIGH SCHOOL CLASS OF '85,EIGHTH ANNUAL REUNION,EDUC;,"HOTEL COCHRAN, [WASHINGTON,D.C.]",BOOKLET; COL; 4.5X6;,SCHOOL REUNION;,"FASTENED AT LEFT BY SATIN RIBBON; PROGRAM INCLUDING A BANJO SOLO; DANCE PROGRAM TO BE FILLED IN OF 8 DANCES INCLUDING WALTZ,POLKA,LANCIERS,YORKE;TOASTS LISTED;",1892-165,,,1892-12-28,Washington High School Class Of '85,,,,complete,8,18
5454,22037,,PROVINZIAL-QUARTETTS,"[LUNCH?] SPEISENZETTEL,DURING AN EXCURSION OF SEVERAL DAYS",SOC,"FURSTENHOF,MAGDEBURG",FOLDER; ILL; 4.5X7,"OTHER, EXCURSION OF MUSICAL SOCIETY","LUNCH DURING A THREE DAY EXCURSION,CHARGE NOTED FOR THIS LUNCH AS IF ADDITIONAL TO EXCURSION, GERMAN, DECORATIVE BORDERS,OTHER SMALL ILLUSTRATIONS ON FRONT COVER",1886-028,,,1886-07-04,Provinzial Quartetts,,,,complete,4,8
3969,20318,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD SS KAMAKURA MARU,BROADSIDE; 5.5X7.75;,,HAND WRITTEN;,1900-4150,,,1900-08-24,Nippon Yusen Kaisha,,,,complete,2,19
12716,30260,,Waldorf Astoria,,,,25.5x18cm folded; 25.5x36cm open,,American President Lines,1939-0021_wotm,,,1939-01-24,Waldorf Astoria,,,,complete,4,10
11306,28817,,B.O.A.C. Cunard,,,,28.5x19cm,,,1987-0052_wotm,,,1965-01-01,B.O.A.C. Cunard,,,,complete,2,30
15174,32786,Mendel,Mendel,,,,28x18cm,,,1917-0523_wotm,,,1917-11-17,Mendel,,Dollars,$,complete,1,162
13157,30706,,Waldorf Astoria,,,,28x22cm folded; 28x44cm open,,The Wine and Food Society of New York,1937-0110_wotm,,,1937-10-07,Waldorf Astoria,,,,complete,10,41
11618,29133,,"T.S.S. \Ocean Monarch\""""",,,,22x17.5cm folded; 22x34cm open,,,1961-0061_wotm,,,1961-07-03,"T.S.S. \Ocean Monarch\""""",,Dollars,$,complete,3,74
917,13693,,SOUTHERN RAILWAY,BREAKFAST,COMMERCIAL,WASHINGTON AND SOUTHWESTERN LIMITED,CARD;5.5X6.6;,DAILY;,DATE HANDWRITTEN PROBABLY BY FB;,1900-3441,,,1900-05-01,Southern Railway,,,,complete,2,40
17257,35123,Yale University,Yale University,,,,,,The Yale Courant,1913-0351_wotm,,,1913-04-11,Yale University,,,,complete,12,24
4686,21071,,CORNELL ALUMNI IN NEW YORK & VICINITY,ANNUAL DINNER,EDUC;,"WALDORF-ASTORIA HOTEL, NEW YORK, NY",BOOKLET; ILLUS; COL; 5.5X8.5;,ANNIVERSARY;,"FRENCH; INCLUDES TOASTS, DINNER & EXECUTIVE COMMITTEE LISTINGS; DECORATIVE BORDER & DESIGN; SILK CORD ATTACHMENT;",1901-085,,,1901-01-12,Cornell Alumni In New York & Vicinity,,,,complete,8,21
12083,29605,,Hotel Taft Grill,,,,35.5x31cm folded; 35.5x54cm open,,,1955-0152_wotm,,,1955-12-18,Hotel Taft Grill,,Dollars,$,complete,3,404
1491,14592,,,,,,,,,,,,1892-05-19,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (Unusual),,,,complete,2,23
5038,21489,,BREVOORT HOUSE,BREAKFAST,COMMERCIAL,"NEW YORK, NY",BROADSHEET; ILLUS; COL; 5.5X8.5;,OTHER (DAILY MENU);,"HOTEL SEAL AT TOP OF MENU; ALL PRICES HANDWRITTEN; ""TABLE D'HOTE LUNCH 75C; TABLE D'HOTE DINNER & CONCERT $1.25;""",1900-153,,,1900-01-11,Brevoort House,,Cents,c,complete,2,216
8630,25995,,COLONIAL HOTEL,LUNCHEON,COMMERCIAL,"NASSAU, N.P. BAHAMAS",CARD; 3.75X7.5;,,,1901-163,,,1901-01-23,Colonial Hotel,,,,complete,2,64
17106,34933,St. Charles Hotel,St. Charles Hotel,,,,,,Daily Ad Men's Club,1913-0160_wotm,,,1913-02-06,St. Charles Hotel,,Dollars,$,complete,2,263
17083,34909,Park Avenue Hotel,Park Avenue Hotel,,,,,,"Ancient Lodge, No. 724",1913-0136_wotm,,,1913-02-01,Park Avenue Hotel,,,,complete,2,21
14703,32310,Café New York Restaurant,Café New York Restaurant,,,,33x21cm,,,1918-0186_wotm,,,1918-01-25,Café New York Restaurant,,Dollars,$,complete,2,258
11107,28617,,Neuman & Bogdonoff,,,,18x10cm folded; 18x20cm open,,,1986-0005_wotm,,,1986-01-01,Neuman & Bogdonoff,,Dollars,$,complete,3,58
15380,32996,Herald Square Hotel,Herald Square Hotel,,,,31x13.5cm,,,1917-0736_wotm,,,1917-11-28,Herald Square Hotel,,Dollars,$,complete,1,121
7377,24418,,MOUNT NELSON HOTEL,CHRISTMAS DINNER,COMMERCIAL,CAPETOWN [SOUTH AFRICA?],CARD; COL; 5X8;,RELIGIOUS HOLIDAY,MENU IN FRENCH;,1906-994,,,1906-12-25,Mount Nelson Hotel,,,,complete,2,18
3448,19787,,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,DAMPFER; H.H. MEIER,CARD; ILLUS; COL; 5.5X8;,,GERMAN; ILLUSTRATION OF STEAMSHIP; BORDER FRIEZE OF MYTHICAL FIGURES;,1901-1123,,,1901-05-03,Norddeutscher Lloyd Bremen,,,,complete,2,21
13471,31058,,Hotel Pierre,,,,20x12.5cm,,,1933-0132_wotm,,,1933-05-13,Hotel Pierre,,,,complete,1,12
13635,31222,,Empire State Observatory,,,,20.5x10.5cm folded; 20.5x21cm open,,Fountain and Tea Room,1933-0002_wotm,,,1933-01-01,Empire State Observatory,,Dollars,$,complete,3,67
11920,29442,,George Washington Hotel,,,,23x15cm folded; 23x30cm open,,Wine List,1953-0006_wotm,,,1953-04-08,George Washington Hotel,,Dollars,$,complete,4,97
9566,27032,,,,,,,,,,,,,Wabash,,Dollars,$,complete,5,136
10484,27970,,"Rms \Queen Elilzabeth 2\""""",,,,42x29cm,,,1974-0020_wotm,,,1974-11-04,Queen Elizabeth 2,,,,complete,1,43
15325,32940,Childs,Childs,,,,23x20.5cm,,,1917-0680_wotm,,,1917-11-26,Childs,,Dollars,$,complete,2,120
8015,25245,,KENTUCKY CHAPTER-RICHMOND COLLEGE ALUMNI,BANQUET,EDUC;,"GALT HOUSE, LOUISVILLE,KENTUCKY",FOLDER; 5.5 X 7;,DINNER,ALL SPEAKERS LISTED;,1899-422,,,1899-05-12,Kentucky Chapter Richmond College Alumni,,,,complete,4,14
4536,20893,,CANADIAN PACIFIC RAILWAY,DINNER,COMMERCIAL,DINING CAR SERVICE,CARD; ILLUS; 5.0X7.0;,,"DATE HAND-WRITTEN [FEB?]; REVERSE, ILLUSTRATION OF THE CHATEAU FRONTENAC, WITH INFORMATION;",1900-3724,,,1900-06-01,Canadian Pacific Railway,,,,complete,2,28
2191,15826,,,,,,,,,,,,1901-06-15,Tuna Club,,,,complete,4,28
4925,21343,,CAFETERIA - LUNCH,DAILY BILL OF FARE,COMMERCIAL,57 BROAD ST. NY,FOLDER; ILLUS; 5.75 X 9.5;,DAILY,ONE PAGE ILLUSTRATED & HAS SPECIALS OF THE DAY IN SCRIPT;,1900-699,,,1900-02-02,Cafeteria   Lunch,,Dollars,$,complete,4,118
6585,23434,,HOTEL AMERICA,DINNER,COMMERCIAL,"IRVING PLACE AND 15TH STREET, NEW YORK, NY",FOLDER; 6 X 7;,,MENU IN SPANISH AND ENGLISH; PARTIALLY HANDWRITTEN; PRICED WINE LIST; NOTE ABOUT A PARIS BRANCH AT 60 RUE LAFAYETTE;,1900-480,,,1900-01-24,Hotel America,,Dollars,$,complete,4,57
15500,33116,Hotel Biltmore,Hotel Biltmore,,,,28x18cm folded; 28x36cm open,,,1917-0609_wotm,,,1917-11-21,Hotel Biltmore,,Dollars,$,complete,4,168
11588,29103,,Glendale Tavern,,,,36x22.5cm folded; 36x44.5cm open,,,1961-0031_wotm,,,1961-01-30,Glendale Tavern,,Dollars,$,complete,4,81
14422,32024,Hotel Traymore,Hotel Traymore,,,,20x15.5cm folded; 20x31cm open,,Ernst and Ernst,1919-0106_wotm,,,1919-10-17,Hotel Traymore,,,,complete,2,14
9123,26573,,La Caspienne (Relais Plaza),Caviar and drink menu,"FOREIGN,RESTAURANT",La Caspienne (Relais Plaza),Booklet; 5.75 x 8 inches; silver cord,,Dieter Zander Collection; Illustrated cover; external view of building,Zander 608,,,,La Caspienne (Relais Plaza),,Francs,FF,complete,4,36
2089,15709,,,,,,,,,,,,1900-11-29,Norfolk House,,,,complete,4,35
10479,27965,,"Rms \Queen Elilzabeth 2\""""",,,,29x20cm folded; 29x40cm open,,,1974-0015_wotm,,,1974-10-31,Queen Elizabeth 2,,,,complete,2,35
12884,30432,,Hotel General Wayne,,,,25x16.5cm folded; 25x32.5cm open,,,1940-0096_wotm,,,1940-10-18,Hotel General Wayne,,Dollars,$,complete,3,98
4343,20698,,HOWARD HOUSE,DINNER,COMMERCIAL,"MALONE, NJ",BROADSIDE; ILLUS; 5.5X8.5;,,TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-3137,,,1900-05-06,Howard House,,,,complete,2,36
7973,25195,,HOTEL MEN OF WASHINGTON,DINNER IN HONOR OF THE HOTEL MEN'S BENEFIT ASSOCIATION,PROF;,"DEWEY HOTEL, THE, (WASHINGTON DC?)",FOLDER; 5.5 X 7;,COMPLIMENTARY/TESTIMONIAL,WINES;,1899-430,,,1899-05-19,Hotel Men Of Washington,,,,complete,4,18
4080,20431,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,SS; KAMAKURA MARU,BROADSIDE; ILLUS; 5.5X7.75;,,HANDWRITTEN; DECORATIVE BORDER;,1900-4173,,,1900-08-27,Nippon Yusen Kaisha,,,,complete,2,20
1614,14891,,,,,,,,,,,,1900-04-27,Riggs House,,,,complete,2,51
3510,19849,,CROMWELL STEAMSHIP COMPANY,DINNER,COMMERCIAL,EN ROUTE,CARD;  4.5 X 9;,,HANDWRITTEN; RED LOGO;,1900-2607,,,1900-03-28,Cromwell Steamship Company,,,,complete,2,19
3270,19434,,,,,,,,,,,,1900-02-14,Red Star Line,,,,complete,2,16
17079,34905,New Willard,New Willard,,,,,,"The Gridiron Club of Washington, D.C.",1913-0132_wotm,,,1913-02-01,New Willard,,,,complete,2,23
5759,22410,,HOTEL MEN'S MUTUAL BENEFIT AASOCIATION LADIES,"LUNCHEON TO HOTEL MEN'S MUTUAL BENEFIT ASSOCIATION,LADIES",PROF;,"GRAND PACIFIC HOTEL,",FOLDER; COL;  4 X 5.75;,COMPLIMENTARY/TESTIMONIAL,PINK; CREST;  WINES;,1899-437,,,1899-05-24,Hotel Men's Mutual Benefit Association,,,,complete,4,19
2451,16574,,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSHEET; COL; ILLUS; 10.25 X 9.5;,DAILY MENU;,HANDWRITTEN; COLOR ILLUSTRAION OF CHILDREN CARRYING LANTERNS AND LARGE DRUM;  MAP OF STEAMSHIP ROUTES ON BACK;,1900-4581,,,1900-10-04,Nippon Yusen Kaisha,,,,complete,2,16
7819,25001,,RMS OCEANIC,LUNCH,COMMERCIAL,RMS OCEANIC,CARD;ILL;COL;3.25X5;,DAILY;,RED FLAG WITH STAR;MONOGRAM;,1900-841,,,1900-02-09,Rms Oceanic,,,,complete,2,31
8621,25983,,EROFFNUNGS-HEIER  DER BERGFAHRT IN TIROL,DINNER,SOM;,"HAMBURG, GERMANY",FOLDER; COL; ILLUS; 7 X 7.25;,OTHER (SOC);,"GERMAN; CREST; ORNAMENTAL BORDER, RED AND BLACK PRINT; MUSICAL PROGRAM; SEEMS TO BE AN ANNOUNCEMENT OF MOUNTAIN TRIPS IN THE TIROL;",1899-435,,,1899-05-20,Eroffnungs Heier  Der Bergfahrt In Tirol,,,,complete,4,11
1917,15516,,,,,,,,,,,,1901-05-21,Oceanic Steamship Company   Ventura,,,,complete,2,41
11503,29018,,Adam Rooms,,,,20x12.5cm,,,1964-0022_wotm,,,1964-08-04,Adam Rooms,,,,complete,1,6
12697,30241,,Waldorf Astoria,,,,21x14cm,,"Red, White and Blue Dinner Dance",1939-0002_wotm,,,1939-01-06,Waldorf Astoria,,,,complete,1,13
333,12879,,HAMBLEN'S RESTAURANT & LUNCH ROOMS,MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; ILLUS; 6X9.5;,,PRICED MENU; DECORATIVE BORDER; [DATE SUPPLIED BY FEB]; SPECIAL ITEMS WRITTEN IN LAVENDAR INK & THEN PRINTED; SUPPLIER'S ADS ON BACK PAGE;,1900-2720,,,1900-04-07,Hamblen's Restaurant & Lunch Rooms,,Dollars,$,complete,4,199
17084,34910,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,,,Grand Central Terminal,1913-0137_wotm,,,1913-02-01,[Restaurant name and/or location not given],,,,complete,4,25
14386,31988,Hotel de Soto,Hotel de Soto,,,,23x15cm folded; 23x30cm open,,,1919-0037_wotm,,,1919-04-21,Hotel de Soto,,,,complete,6,19
15697,33322,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0061,,,1915-01-01,Waldorf Astoria,,,,complete,7,66
