,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
10644,28147,,Le Dome Of The Four Seasons,,,,33x16cm folded; 33x32cm open,,,1967-0063_wotm,,,1967-12-10,Le Dome Of The Four Seasons,,,,complete,5,26
9618,27088,,Pennsylvania Railroad,lunch,RAILROAD,,9 1/2 x 6 1/2 in. ,,"The Pennsylvania Limited. Passenger Traffic Manager : F. W. Conner. Superintendent, Dining Car Service : C. E. Milliron.",Soete 213,,,1931-09-15,Pennsylvania Railroad,,Dollars,$,complete,2,104
5175,21690,,NATIONAL WHOLESALE LUMBER DEALERS ASSOCIATION,ANNUAL BANQUET,COMMERCIAL,"NEW WILLARD, WASHINGTON, DC",BOOKLET; ILLUS; COL; 4.25X5.75;,ANNIVERSARY;,INCLUDES WINE LIST; TOASTMASTER AND GUESTS LISTED; HOTEL LOGO ON COVER; SILK CORD ATTACHMENT;,1907-290,,,1907-03-07,National Wholesale Lumber Dealers Association,,,,complete,8,18
13406,30972,,Meurice,,,,32x24.5cm,,Arthur H. Rumpf Menu Collection,1938-0178_wotm,,,1938-11-23,Meurice,,Francs,FF,complete,1,61
12270,29802,,Louis Sherry,,,,33x23cm,,separate menus for luncheon and dinner,1946-0031_wotm,,,1946-03-16,Louis Sherry,,Dollars,$,complete,2,271
5770,22424,,MASSACHUSETTS PROHIBITION STATE COMMITTEE,BANQUET AND JUBILEE FOR HON.NEAL DOW,POL;,"TREMONT TEMPLE,BOSTON MASS",FOLDER;ILL;4.75X7.25;,COMPLIMENTARY/TESTIMONIAL,PORTRAIT OF NEAL DOW AND PORTRAIT OF SPEAKER JOHN G. WOOLLEY;,1897-094,,,1897-03-18,Massachusetts Prohibition State Committee,,,,complete,4,18
590,13217,,OCEAN STEAMSHIP CO.,DINNER,COMMERCIAL,BACIOCHIE?,FOLDER;ILLUS;4.5X7;,DAILY;,"FOOD,RABBIT,MUSIC SCROLL,ETC.,ON FRONT COVER;SHIP IN CIRCLE ON BACK COVER;NO DATE;NAME OF SHIP DIFFICULT TO READ;PRICED WINES;",1901-1524,,,1901-01-01,Ocean Steamship Co.,,Dollars,$,complete,4,60
17068,34891,Waldorf-Astoria,Waldorf-Astoria,,,,,,The Detroit Board of Commerce,1912-0613_wotm,,,1912-10-03,Waldorf-Astoria,,Dollars,$,complete,1,131
6174,22925,,EPISCOPALIAN CLUB,DINNER,RELIG;,"BRUNSWICK,THE,BOSTON,[MASS]",BOOKLET;ILLUS;COL;4.75X6;,DAILY?;,,1897-318,,,1897-11-29,Episcopalian Club,,,,complete,4,29
14645,32251,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,22x19cm folded; 22x38cm open,,,1916-0166_wotm,,,1916-12-15,[Restaurant name and/or location not given],,,,complete,3,4
