id	HotelName	sponsor	event	venue	City&Country	measurements	occasion	notes	call_number	keywords	language	date	place	place_type	currency	currency_symbol	status	page_count	dish_count
28839		the english house				30.5x13cm folded; 30.5x38cm open			1987-0072			1/1/87	The English House		UK Pounds	£	complete	4	30
									wotm										
20709		hamburg-amerika linie	lunch	COMMERCIAL	SS AUGUSTE VICTORIA	CARD;ILL;COL;5X8	DAILY;	SEPARATE LISTINGS IN GERMAN AND ENGLISH;	1900-2644			4/1/00	Hamburg Amerika Linie				complete	2	24
23534		mass society of the sons of the american revolution	semi-annual meeting and dinner	SOC	FANEUIL HALL, BOSTON, [MASS]	FOLDER; ILL; 4.75X5.5	OTHER	OFFICERS AND BOARD OF MANAGERS LISTED; ILLUSTRATION OF STATUE OF CONCORD'S MINUTE MAN	1891-108			1891-10-16	Mass Society Of The Sons Of The American Revolution				complete	4	25
20498		nippon yusen kaisha	tiffin	COMMERCIAL	EN ROUTE ABOARD SS. KASUGA	BROADSIDE; 5.5 X 7.75;	DAILY	HANDWRITTEN; RED BORDER;	1900-4677			10/12/00	Nippon Yusen Kaisha				complete	2	15
30597		waldorf astoria				22x15.5cm folded; 22x31cm open		The Pan American Society	1937-0072			4/8/37	Waldorf Astoria				complete	3	14
									wotm										
14225		union pacific	breakfast	COMMERCIAL	DINING CAR SERVICE	CARD; ILLUS; COL; 5.5X7;		A LA CARTE MENU; COMPANY LOGO AT TOP; SCENE OF TRACK LAYING IN WYOMING ON BACK;	1901-2310			9/1/01	Union Pacific		Dollars	$	complete	2	51
19858		norddeutscher lloyd bremen	dinner	COMMERCIAL	EN ROUTE ABOARD KAISER WILHELM DER GROSSE	FOLDER; CARD; ILLUS; 5.25 X 7.5;		MENU IN GERMAN AND ENGLISH; NAUTICAL AND CLASSICAL ILLUSTRATION; SPACE FOR MUSICAL PROGRAM BUT NONE NOTED POSSIBLY BECAUSE MENU IS FOR GOOD FRIDAY;	1900-2773			4/13/00	Norddeutscher Lloyd Bremen				complete	4	38
26717		st. regis - sheraton	lunch		King Cole Bar	Folder; 10 x 14 inches		Dieter Zander Collection.	Zander			4/26/68	St. Regis   Sheraton		Dollars	$	complete	3	149
									434										
29127		alfe kanzlei				30x22.5cm folded; 30x45cm open			1961-0055			8/29/61	Alfe Kanzlei		Deutsche Marks	DM	complete	6	235
									wotm										
23098		american association of freight taffic officers	second annual banquet	PROF;	WALDORF-ASTORIA, [NEW YORK]	BOOKLET; ILLUS; COL; 8.5 X 11;	ANNIVERSARY;	CHAMPAGNE; MENU IN FRENCH;  HUMOROUS MENU IN FORM OF SHIPPING NOTES; MOCK CARBON PAPER; ILLUSTRATION OF DOOR OF FREIGHT CAR;	1906-766			10/17/06	American Association Of Freight Taffic Officers				complete	10	25
30630		bds				22x14cm folded; 22x28cm open			1937-0147			7/19/37	Bds				complete	3	14
									wotm										
33539	The Mansion House	the mansion house							1915-0278			1/1/15	The Mansion House				complete	4	10
32229	Hotel Traymore	hotel traymore				28x18cm			1916-0144			4/23/16	Hotel Traymore				complete	1	57
									wotm										
17725												3/19/00	Battery Park Hotel		Dollars	$	complete	4	130
15759												4/27/01	George W. Smith				complete	4	23
31996	[Restaurant name and/or location not given]	[restaurant name and/or location not given]				17x11.5cm folded; 17x23cm open		Metropolitan Life Insurance Company	1919-0045			5/17/19	[Restaurant name and/or location not given]				complete	3	16
									wotm										
29396		hotel mas de vence				19x14cm folded; 19x28cm open			1995-0016			7/3/95	Hotel Mas De Vence				complete	3	4
									wotm										
29962		rosoff's				28.5x19cm folded; 28.5x38cm open			1949-0052			10/8/49	Rosoff's		Dollars	$	complete	4	223
									wotm										
24332		masons	banquet to the earl of onslow	SOC;	AUCKLAND,NEW ZEALEND;	BROADSIDE;3.5 X 5.25;	COMPLIMENTARY/TESTIMONIAL	INCLUDES WINES;	1890-085			1890-01-01	Earl of Onslow				complete	2	36
24115		new york club	dinner	SOC;		FOLDER;ILLUS;COL;3X5;		COCKTAILS AND WINES;DECORATIVE CORNERS;FRENCH MENU;	1901-061			1/8/01	New York Club				complete	2	23
32085	Hotel Astor	hotel astor				23x18cm folded; 23x36cm open		Friedens Verein No. 1	1919-0103			12/7/19	Hotel Astor				complete	7	14
									wotm										
